,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max_Temp,Wind_Speed,date
0,abaete,68,BR,1553365573,71,-19.16,-45.45,27.24,2.77,1553365573
2,podgornoye,64,RU,1553365573,80,57.79,82.64,-2.06,0.87,1553365573
3,butaritari,68,KI,1553365484,100,3.07,172.79,27.44,4.02,1553365484
4,pangkalanbuun,36,ID,1553365431,89,-2.68,111.62,23.09,1.42,1553365431
6,abeche,32,TD,1553365574,21,13.83,20.83,30.09,2.77,1553365574
7,sao filipe,0,CV,1553365467,92,14.9,-24.5,22.19,6.82,1553365467
8,hilo,75,US,1553365453,77,19.71,-155.08,20.31,2.6,1553365453
9,puerto penasco,0,MX,1553364916,81,31.32,-113.53,17.78,3.13,1553364916
10,amapa,75,HN,1553364000,43,15.09,-87.97,31.0,5.1,1553364000
11,rikitea,32,PF,1553365458,98,-23.12,-134.97,26.29,8.47,1553365458
12,busselton,8,AU,1553365217,51,-33.64,115.35,10.39,5.92,1553365217
13,lengshuitan,88,CN,1553365575,99,26.41,111.6,8.79,1.62,1553365575
14,atuona,68,PF,1553365470,100,-9.8,-139.03,27.84,7.37,1553365470
16,victoria,75,BN,1553362200,94,5.28,115.24,26.81,2.1,1553362200
17,tiksi,48,RU,1553365385,68,71.64,128.87,-16.91,1.37,1553365385
18,springdale,90,US,1553365443,44,36.19,-94.13,14.86,2.6,1553365443
19,ushuaia,20,AR,1553360400,81,-54.81,-68.31,12.0,1.5,1553360400
20,lebu,40,ET,1553364000,30,8.96,38.73,21.0,3.1,1553364000
21,cockburn town,0,TC,1553365171,98,21.46,-71.14,26.44,4.57,1553365171
22,georgetown,75,GY,1553364000,46,6.8,-58.16,30.82,6.2,1553364000
23,kruisfontein,0,ZA,1553365356,83,-34.0,24.73,21.29,4.37,1553365356
24,farafangana,76,MG,1553365577,100,-22.82,47.83,24.24,3.22,1553365577
25,wilmington,1,US,1553365442,33,39.75,-75.55,8.32,10.8,1553365442
26,benguela,36,AO,1553365577,96,-12.58,13.4,27.84,1.57,1553365577
27,nikolskoye,90,RU,1553365485,86,59.7,30.79,2.97,4.0,1553365485
28,khatanga,0,RU,1553365294,48,71.98,102.47,-26.91,1.42,1553365294
29,nuuk,75,GL,1553363400,40,64.17,-51.74,-8.0,7.2,1553363400
30,ebebiyin,80,GQ,1553365578,95,2.15,11.34,23.14,1.17,1553365578
31,nanortalik,24,GL,1553365537,100,60.14,-45.24,-4.91,7.92,1553365537
32,barrow,0,AR,1553365478,48,-38.31,-60.23,26.34,9.57,1553365478
33,marsa matruh,40,EG,1553360400,63,31.35,27.25,18.0,6.7,1553360400
34,albany,40,US,1553365276,50,42.65,-73.75,0.75,11.8,1553365276
35,talnakh,68,RU,1553365527,66,69.49,88.39,-16.51,2.42,1553365527
36,tilichiki,0,RU,1553365526,41,60.47,166.1,-25.61,1.32,1553365526
37,kamenka,64,RU,1553364663,73,53.19,44.05,2.78,4.07,1553364663
38,peleduy,44,RU,1553365579,60,59.63,112.75,-11.36,3.57,1553365579
39,linqu,0,CN,1553365184,46,36.52,118.54,5.0,1.72,1553365184
40,kahului,20,US,1553365347,60,20.89,-156.47,21.49,5.1,1553365347
41,cayenne,75,GF,1553364000,62,4.94,-52.33,31.0,6.2,1553364000
42,hermanus,64,ZA,1553364960,84,-34.42,19.24,21.98,1.62,1553364960
43,punta arenas,20,CL,1553364798,71,-53.16,-70.91,12.93,3.6,1553364798
44,khovu-aksy,0,RU,1553365580,64,51.13,93.72,-13.66,1.47,1553365580
47,lorengau,88,PG,1553365580,99,-2.02,147.27,28.04,5.57,1553365580
48,doha,0,QA,1553362200,73,25.29,51.53,22.0,5.7,1553362200
49,klaksvik,92,FO,1553363400,80,62.23,-6.59,4.0,9.3,1553363400
50,tabas,0,IR,1553360400,47,33.6,56.92,17.0,2.1,1553360400
51,cidreira,12,BR,1553365392,85,-30.17,-50.22,23.59,2.42,1553365392
52,petersburg,1,US,1553365405,22,37.23,-77.4,14.03,4.1,1553365405
53,ixtapa,5,MX,1553365508,42,20.71,-105.21,28.07,2.6,1553365508
54,camacha,75,PT,1553362200,67,33.08,-16.33,17.58,6.2,1553362200
55,kudahuvadhoo,8,MV,1553365582,99,2.67,72.89,29.59,4.62,1553365582
56,bethel,90,US,1553363760,80,60.79,-161.76,2.0,3.6,1553363760
57,bredasdorp,8,ZA,1553364960,88,-34.53,20.04,21.41,1.5,1553364960
58,new norfolk,75,AU,1553365396,68,-42.78,147.06,16.83,3.6,1553365396
59,caravelas,92,BR,1553365510,100,-17.73,-39.27,26.69,9.62,1553365510
60,rawson,68,AR,1553365429,45,-43.3,-65.11,18.94,10.77,1553365429
61,richards bay,48,ZA,1553365582,93,-28.77,32.06,22.24,3.42,1553365582
62,seoul,1,KR,1553363760,74,37.57,126.98,-0.26,1.0,1553363760
63,tuktoyaktuk,90,CA,1553364000,71,69.44,-133.03,-13.0,10.3,1553364000
64,luderitz,8,NA,1553365544,82,-26.65,15.16,17.49,5.27,1553365544
66,aloleng,12,PH,1553365583,90,16.13,119.78,25.69,5.22,1553365583
67,kempsey,36,AU,1553365505,96,-31.08,152.84,20.88,0.89,1553365505
68,mana,0,RS,1553364000,47,43.52,20.24,10.39,2.1,1553364000
69,tasiilaq,20,GL,1553363400,56,65.61,-37.64,-9.0,6.7,1553363400
71,robertsport,12,LR,1553365584,98,6.75,-11.37,28.44,4.57,1553365584
72,yellowknife,20,CA,1553365009,54,62.45,-114.38,-15.39,4.1,1553365009
73,mataura,64,NZ,1553365206,90,-46.19,168.86,13.33,1.22,1553365206
75,san ignacio,0,CL,1553364000,39,-36.8,-72.03,26.0,9.8,1553364000
76,fort saint james,88,CA,1553365585,93,54.43,-124.25,2.04,1.32,1553365585
77,ust-ilimsk,76,RU,1553365586,79,57.96,102.73,-4.56,2.82,1553365586
78,fortuna,20,ES,1553365419,51,38.18,-1.13,14.82,2.6,1553365419
79,baykit,88,RU,1553365586,79,61.68,96.39,-6.11,1.07,1553365586
80,severo-kurilsk,80,RU,1553365489,96,50.68,156.12,-1.06,8.32,1553365489
81,avarua,80,CK,1553362200,94,-21.21,-159.78,24.0,0.5,1553362200
82,haradok,8,BY,1553365586,60,55.46,29.99,2.29,3.87,1553365586
84,salym,92,RU,1553365587,95,60.06,71.48,-0.46,0.57,1553365587
85,lagoa,0,PT,1553365329,59,37.14,-8.45,18.26,4.6,1553365329
86,upernavik,24,GL,1553365465,100,72.79,-56.15,-21.06,4.32,1553365465
87,kutum,36,SD,1553365396,41,14.2,24.66,24.99,1.32,1553365396
88,port alfred,0,ZA,1553365210,92,-33.59,26.89,22.52,0.89,1553365210
89,maceio,20,BR,1553364000,59,-9.67,-35.74,32.0,6.2,1553364000
91,hobart,75,AU,1553365274,68,-42.88,147.33,16.82,3.6,1553365274
92,guerrero negro,0,MX,1553365302,63,27.97,-114.04,20.14,2.17,1553365302
93,kanniyakumari,0,IN,1553365588,98,8.08,77.57,29.44,2.37,1553365588
96,petatlan,5,MX,1553363040,55,17.52,-101.27,30.0,5.1,1553363040
97,lapua,24,FI,1553365484,64,62.97,23.01,3.62,3.6,1553365484
98,vaini,0,IN,1553365293,85,15.34,74.49,21.09,1.37,1553365293
99,fasa,20,IR,1553360400,87,28.94,53.65,11.0,0.97,1553360400
101,minas,75,UY,1553364000,44,-34.38,-55.24,25.0,4.1,1553364000
102,qaanaaq,8,GL,1553365457,61,77.48,-69.36,-29.76,4.47,1553365457
104,pleszew,8,PL,1553365562,64,51.9,17.79,14.48,3.13,1553365562
105,lasa,20,CY,1553364956,87,34.92,32.53,13.1,2.1,1553364956
106,luganville,92,VU,1553365571,100,-15.51,167.18,24.24,1.32,1553365571
107,the pas,90,CA,1553364000,69,53.82,-101.24,2.0,3.6,1553364000
108,qaqortoq,75,GL,1553363400,44,60.72,-46.03,-7.0,1.5,1553363400
109,mar del plata,56,AR,1553365493,72,-46.43,-67.52,14.69,6.47,1553365493
110,arraial do cabo,40,BR,1553364000,65,-22.97,-42.02,27.36,4.6,1553364000
111,chokurdakh,56,RU,1553365332,50,70.62,147.9,-27.51,1.42,1553365332
113,plettenberg bay,12,ZA,1553365591,93,-34.05,23.37,21.24,2.77,1553365591
114,shibetsu,68,JP,1553365591,74,44.15,142.46,-10.56,1.67,1553365591
115,thompson,20,CA,1553364000,48,55.74,-97.86,-8.0,6.7,1553364000
116,katsuura,40,JP,1553360400,93,33.93,134.5,3.0,2.6,1553360400
117,ilulissat,75,GL,1553363400,39,69.22,-51.1,-21.0,5.7,1553363400
118,mount gambier,90,AU,1553363400,100,-37.83,140.78,15.0,1.5,1553363400
119,batemans bay,24,AU,1553365503,87,-35.71,150.18,15.52,1.27,1553365503
120,boves,90,FR,1553365560,87,49.85,2.39,9.9,4.6,1553365560
121,san cristobal,75,EC,1553364975,49,-0.39,-78.55,18.93,5.7,1553364975
123,pevek,0,RU,1553365305,35,69.7,170.27,-30.91,1.52,1553365305
124,kargil,8,PK,1553365593,84,34.56,76.13,-15.26,0.52,1553365593
125,nome,1,US,1553365426,41,30.04,-94.42,23.49,6.2,1553365426
126,ankara,0,TR,1553365478,35,39.92,32.85,5.1,4.1,1553365478
127,carnduff,0,CA,1553365594,94,49.17,-101.8,2.09,1.32,1553365594
128,east london,0,ZA,1553364000,83,-33.02,27.91,24.0,6.2,1553364000
129,atar,0,MR,1553365594,27,20.52,-13.05,27.49,4.62,1553365594
130,vestmannaeyjar,75,IS,1553364000,93,63.44,-20.27,3.0,11.8,1553364000
131,nerchinskiy zavod,0,RU,1553365594,66,51.31,119.61,-9.91,2.32,1553365594
132,berlevag,12,NO,1553365458,100,70.86,29.09,-0.91,3.02,1553365458
134,mporokoso,64,ZM,1553365595,100,-9.37,30.12,18.59,1.67,1553365595
136,pisco,0,PE,1553364000,30,-13.71,-76.2,22.0,4.6,1553364000
137,ambositra,92,MG,1553365595,99,-20.53,47.24,16.09,0.62,1553365595
138,havoysund,12,NO,1553365200,69,71.0,24.66,2.0,2.6,1553365200
139,eenhana,36,NA,1553365596,33,-17.48,16.34,28.64,3.12,1553365596
140,vardo,1,US,1553365581,31,39.62,-77.74,8.32,7.7,1553365581
141,yenotayevka,92,RU,1553365596,89,47.24,47.04,5.09,3.97,1553365596
142,bubaque,8,GW,1553365516,80,11.28,-15.83,28.99,2.62,1553365516
143,santa lucia,20,IT,1553365201,59,39.93,9.66,14.39,2.1,1553365201
144,morondava,20,MG,1553365375,77,-20.3,44.28,29.59,2.57,1553365375
145,nishihara,20,JP,1553365530,38,35.74,139.53,2.29,2.6,1553365530
146,puerto ayora,20,EC,1553364955,70,-0.74,-90.35,27.93,5.1,1553364955
147,cherskiy,12,RU,1553365317,22,68.75,161.3,-25.91,0.97,1553365317
148,jamestown,92,AU,1553365470,93,-33.21,138.6,17.34,3.47,1553365470
149,kodiak,90,US,1553365412,29,39.95,-94.76,11.07,5.1,1553365412
150,sonqor,75,IR,1553362200,37,34.78,47.6,12.0,2.1,1553362200
151,pangnirtung,90,CA,1553364000,70,66.15,-65.72,-17.0,7.7,1553364000
152,cape town,0,ZA,1553365220,82,-33.93,18.42,20.78,4.1,1553365220
153,alofi,48,NU,1553360400,83,-19.06,-169.92,23.0,2.6,1553360400
154,erenhot,0,CN,1553365599,66,43.65,111.97,-1.06,6.92,1553365599
155,gorontalo,24,ID,1553365599,95,0.54,123.06,22.29,0.97,1553365599
156,longyearbyen,20,NO,1553363400,67,78.22,15.63,-6.0,7.2,1553363400
157,mahibadhoo,0,MV,1553365599,99,3.78,72.97,29.79,4.52,1553365599
158,monte alegre,76,BR,1553365599,81,-2.0,-54.07,28.39,1.52,1553365599
159,college,40,US,1553365332,59,64.86,-147.8,1.19,2.1,1553365332
160,castro,75,CL,1553364000,67,-42.48,-73.76,15.0,2.6,1553364000
161,sudak,76,UA,1553365600,100,44.85,34.97,2.14,4.37,1553365600
162,haines junction,24,CA,1553365600,76,60.75,-137.51,0.54,1.22,1553365600
163,savannah bight,36,HN,1553365574,98,16.45,-85.85,25.74,3.02,1553365574
164,luwuk,44,ID,1553365600,97,-0.95,122.79,26.34,1.42,1553365600
165,fort nelson,75,CA,1553364000,69,58.81,-122.69,3.0,3.1,1553364000
166,narsaq,75,GL,1553363400,44,60.91,-46.05,-7.0,1.5,1553363400
167,honiara,88,SB,1553365601,100,-9.43,159.96,23.44,0.72,1553365601
168,kusa,24,RU,1553365601,86,55.34,59.45,-4.76,1.17,1553365601
169,flinders,32,AU,1553365342,77,-34.58,150.85,20.89,1.17,1553365342
170,szczytno,0,PL,1553364000,71,53.57,20.99,11.0,3.6,1553364000
171,hoa binh,75,VN,1553362200,68,20.81,105.34,18.0,4.1,1553362200
172,waipawa,0,NZ,1553365336,94,-39.94,176.59,10.56,1.17,1553365336
173,north platte,90,US,1553365233,87,41.12,-100.77,6.67,6.2,1553365233
175,puerto escondido,5,MX,1553363100,66,15.86,-97.07,30.0,4.1,1553363100
176,vikhorevka,64,RU,1553365396,73,56.12,101.17,-6.6,3.0,1553365396
177,general pico,0,AR,1553365603,46,-35.66,-63.75,28.69,4.92,1553365603
178,laguna,5,MX,1553363220,28,27.52,-110.01,23.0,3.1,1553363220
179,bambous virieux,75,MU,1553365440,83,-20.34,57.76,26.16,4.6,1553365440
180,esmeraldas,75,BR,1553364000,64,-19.76,-44.31,25.1,2.6,1553364000
181,dubbo,0,AU,1553362200,69,-32.25,148.6,23.0,4.1,1553362200
182,kaitangata,80,NZ,1553365307,91,-46.28,169.85,13.54,1.77,1553365307
183,samarai,92,PG,1553365463,100,-10.62,150.67,24.34,4.37,1553365463
185,dicabisagan,24,PH,1553365406,100,17.08,122.42,20.94,3.27,1553365406
186,shakiso,0,ET,1553365605,30,5.77,38.9,20.59,2.17,1553365605
187,vanimo,56,PG,1553365386,98,-2.67,141.3,28.39,7.47,1553365386
190,point fortin,40,TT,1553364970,48,10.16,-61.68,30.9,8.2,1553364970
191,matola,20,MZ,1553364000,78,-25.97,32.47,26.0,2.6,1553364000
192,port elizabeth,1,US,1553365511,31,39.31,-74.98,8.97,9.3,1553365511
193,sao joao da barra,75,BR,1553360400,65,-21.64,-41.05,28.0,2.1,1553360400
194,lao cai,64,VN,1553365606,94,22.48,103.95,13.84,0.82,1553365606
195,hualmay,20,PE,1553365556,72,-11.1,-77.61,24.84,1.87,1553365556
196,kiunga,80,PG,1553365606,97,-6.12,141.3,22.19,1.52,1553365606
197,ponta delgada,75,PT,1553365253,76,37.73,-25.67,13.38,14.9,1553365253
198,vila franca do campo,40,PT,1553365493,71,37.72,-25.43,13.35,13.9,1553365493
199,ust-maya,12,RU,1553365607,71,60.42,134.54,-24.01,1.47,1553365607
200,kharela,0,IN,1553365607,37,25.55,79.82,19.34,1.57,1553365607
202,norman wells,75,CA,1553364000,68,65.28,-126.83,-3.0,11.3,1553364000
203,russell,0,AR,1553364000,36,-33.01,-68.8,27.0,2.6,1553364000
204,dikson,68,RU,1553365474,91,73.51,80.55,-9.41,9.62,1553365474
205,faanui,44,PF,1553365366,100,-16.48,-151.75,28.59,4.57,1553365366
206,levelland,40,US,1553365350,24,33.59,-102.38,18.04,6.7,1553365350
207,mopipi,0,BW,1553365608,29,-21.2,24.86,29.14,6.17,1553365608
208,xunchang,92,CN,1553365609,85,28.45,104.71,7.94,1.12,1553365609
209,tuatapere,76,NZ,1553365206,90,-46.13,167.69,13.33,3.02,1553365206
210,horconcitos,0,PA,1553365609,51,8.47,-81.8,28.59,2.42,1553365609
211,rio grande,40,BR,1553360400,47,-32.03,-52.1,26.0,6.2,1553360400
212,komsomolskiy,80,RU,1553365472,88,67.55,63.78,-5.21,5.22,1553365472
213,jangipur,0,IN,1553365609,37,24.46,88.11,20.44,4.02,1553365609
214,mingaora,36,PK,1553365569,89,34.78,72.36,5.94,0.77,1553365569
215,deputatskiy,0,RU,1553365396,0,69.3,139.9,-35.21,1.17,1553365396
216,gat,20,SN,1553364000,60,14.69,-16.54,23.0,7.2,1553364000
217,mount isa,68,AU,1553362200,74,-20.73,139.49,26.0,4.6,1553362200
218,manta,0,RO,1553365610,54,45.1,24.1,7.94,2.12,1553365610
219,makakilo city,90,US,1553365509,69,21.35,-158.09,21.37,2.1,1553365509
221,bluff,0,AU,1553365455,89,-23.58,149.07,21.24,1.67,1553365455
222,touros,40,BR,1553364000,74,-5.2,-35.46,30.0,3.1,1553364000
223,henties bay,0,NA,1553364128,88,-22.12,14.28,17.22,4.02,1553364128
224,evensk,0,RU,1553365483,93,61.92,159.24,-7.76,8.52,1553365483
225,ginda,20,IN,1553365583,61,30.69,78.49,5.69,1.32,1553365583
226,hami,0,CN,1553365575,50,42.84,93.51,1.84,3.42,1553365575
227,tura,0,IN,1553365563,57,25.52,90.21,17.34,1.72,1553365563
229,grand gaube,75,MU,1553365140,83,-20.01,57.66,26.27,4.6,1553365140
230,malibu,40,US,1553365591,19,33.61,-84.48,19.07,1.5,1553365591
231,naze,75,NG,1553364000,74,5.43,7.07,30.0,2.6,1553364000
232,ostrovnoy,8,RU,1553365612,87,68.05,39.51,-1.51,11.77,1553365612
233,labuhan,8,ID,1553365557,96,-2.54,115.51,22.69,0.87,1553365557
234,tiznit,76,MA,1553365375,89,29.7,-9.73,17.29,2.62,1553365375
235,saskylakh,0,RU,1553365389,33,71.97,114.09,-30.56,1.52,1553365389
236,birjand,75,IR,1553360400,62,32.86,59.22,11.0,9.8,1553360400
237,zeya,76,RU,1553365613,68,53.74,127.27,-13.16,0.92,1553365613
238,oleksandrivka,56,UA,1553365614,64,48.97,32.24,4.24,6.12,1553365614
239,tondano,20,ID,1553364000,94,1.3,124.91,23.0,1.0,1553364000
240,san cosme y damian,0,PY,1553364000,54,-27.32,-56.35,28.0,4.1,1553364000
242,kapaa,75,US,1553365093,73,22.08,-159.32,22.18,8.7,1553365093
243,jardim,0,BR,1553365615,76,-21.48,-56.15,29.74,2.02,1553365615
244,renukut,0,IN,1553365616,50,24.22,83.04,17.94,2.12,1553365616
246,okato,0,NZ,1553365222,97,-39.19,173.88,13.33,0.45,1553365222
247,karratha,92,AU,1553365616,58,-20.74,116.85,28.09,17.17,1553365616
249,coihaique,20,CL,1553364000,51,-45.58,-72.07,16.0,3.1,1553364000
250,bukachacha,0,RU,1553365617,53,52.99,116.91,-9.31,2.42,1553365617
251,puerto narino,75,CO,1553364000,88,-3.77,-70.38,28.0,3.6,1553364000
252,virginia beach,1,US,1553365324,24,36.85,-75.98,13.64,5.7,1553365324
253,lichtenburg,12,ZA,1553365617,53,-26.15,26.16,20.09,3.47,1553365617
254,vught,90,NL,1553365615,76,51.66,5.29,9.23,3.6,1553365615
255,ranong,0,TH,1553365618,100,9.96,98.62,28.09,2.92,1553365618
256,ribeira grande,40,PT,1553364000,58,38.52,-28.7,14.0,3.1,1553364000
257,dabat,44,ET,1553365618,39,12.98,37.77,20.49,0.52,1553365618
258,port hardy,75,CA,1553364000,71,50.7,-127.42,10.0,4.6,1553364000
259,alaca,64,TR,1553365483,65,40.17,34.84,3.09,3.57,1553365483
260,ananas,8,HT,1553365619,89,19.25,-71.96,25.74,1.57,1553365619
261,bacolod,0,PH,1553365619,85,10.68,122.95,23.84,3.87,1553365619
262,kungurtug,0,RU,1553365493,64,50.6,97.53,-15.71,1.67,1553365493
264,san quintin,0,PH,1553365401,84,17.54,120.52,17.84,1.82,1553365401
265,airai,32,TL,1553365486,88,-8.93,125.41,21.24,0.72,1553365486
266,saint george,20,GR,1553363400,62,39.45,22.34,11.53,2.1,1553363400
267,sonari,100,IN,1553365620,100,27.03,95.02,16.09,1.67,1553365620
268,cooma,92,AU,1553360400,93,-36.24,149.13,14.0,2.1,1553360400
269,arvi,0,IN,1553365620,37,21.0,78.23,22.94,3.67,1553365620
270,dunedin,68,NZ,1553365227,88,-45.87,170.5,14.44,1.42,1553365227
271,takoradi,24,GH,1553365569,94,4.89,-1.75,28.89,3.57,1553365569
272,archdale,1,US,1553365611,19,35.91,-79.97,15.0,3.1,1553365611
273,sayyan,24,YE,1553365577,54,15.17,44.32,15.04,1.27,1553365577
274,chernyshkovskiy,80,RU,1553365621,71,48.42,42.23,2.24,4.47,1553365621
275,aktau,0,KZ,1553362200,80,43.65,51.16,5.0,3.0,1553362200
276,novopskov,92,UA,1553365544,94,49.54,39.1,0.69,7.02,1553365544
278,manakara,92,MG,1553365622,100,-22.14,48.01,22.99,2.82,1553365622
279,ligayan,0,PH,1553365622,100,4.65,119.47,27.39,2.97,1553365622
280,paamiut,0,GL,1553365622,100,61.99,-49.67,-6.86,5.42,1553365622
281,te anau,92,NZ,1553365473,87,-45.41,167.72,10.49,1.37,1553365473
283,ararat,32,AU,1553364943,83,-37.28,142.93,13.89,1.37,1553364943
284,broome,0,GB,1553365608,61,52.47,1.45,7.77,2.1,1553365608
285,watertown,1,US,1553365311,80,44.9,-97.12,6.9,6.7,1553365311
286,torbay,75,CA,1553365420,71,47.66,-52.73,9.84,9.8,1553365420
287,doctor arroyo,0,MX,1553365623,50,23.67,-100.18,20.94,1.62,1553365623
288,sitka,12,US,1553364980,69,37.17,-99.65,14.44,2.24,1553364980
289,wangqing,0,CN,1553365624,58,43.31,129.76,-8.61,2.07,1553365624
290,sheridan,75,US,1553365481,75,39.65,-105.03,8.27,3.6,1553365481
291,bara,32,NG,1553365624,35,10.41,10.6,33.69,1.42,1553365624
292,iqaluit,90,CA,1553365371,77,63.75,-68.52,-15.0,12.3,1553365371
293,lucea,20,JM,1553364990,66,18.44,-78.17,28.94,10.3,1553364990
294,lavrentiya,92,RU,1553365278,100,65.58,-170.99,-9.91,4.47,1553365278
295,tado,12,ID,1553365625,96,-8.75,120.47,27.74,5.27,1553365625
296,olinda,75,EC,1553365491,79,-2.03,-79.75,28.34,3.1,1553365491
297,sao miguel do araguaia,32,BR,1553365625,100,-13.28,-50.16,27.94,1.87,1553365625
298,orangeburg,1,US,1553365574,23,33.49,-80.86,18.27,2.57,1553365574
299,sibolga,56,ID,1553365626,100,1.74,98.78,20.84,0.42,1553365626
300,carnarvon,92,ZA,1553365308,16,-30.97,22.13,25.94,3.32,1553365308
301,lokosovo,88,RU,1553365626,93,61.13,74.84,-0.86,2.42,1553365626
302,marsberg,90,DE,1553365475,87,51.45,8.86,9.34,1.5,1553365475
304,kavieng,44,PG,1553365514,100,-2.57,150.8,28.69,4.57,1553365514
305,esperance,40,TT,1553364970,48,10.24,-61.45,30.89,8.2,1553364970
306,srednekolymsk,0,RU,1553365627,53,67.46,153.71,-20.46,1.07,1553365627
308,vila velha,75,BR,1553364761,78,-3.71,-38.6,27.88,4.6,1553364761
309,frontera,75,MX,1553362860,61,18.53,-92.64,28.0,2.1,1553362860
